smiles,value,scaled_value
*CCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,32.76,-0.16329386965444403
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)N*,53.53,0.712859391435661
*CCCCCCNC(=O)C(CCCCCCC)C(=O)N*,11.47,-1.0613825999677966
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N*,38.94,0.09740074534492274
*CCCCCCNC(=O)C(CCCCCC)C(=O)N*,17.72,-0.7977351333422233
*CCCCCCNC(=O)C(CCCCCCCCC)C(=O)N*,21.64,-0.6323754422746638
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCCC)C(=O)N*,52.69,0.6774251719211838
*CCCCCCNC(=O)C(CCCCCCCC)C(=O)N*,21.95,-0.6192985279300354
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N*,42.36,0.24166863908243646
*CCCCCCNC(=O)C(CCCCC)C(=O)N*,21.49,-0.6387029814736777
*CCCCCCNC(=O)C(CCC)C(=O)N*,21.03,-0.6581074350173197
*CCCCCCNC(=O)C(CCCCCCCCCCCCCC)C(=O)N*,30.58,-0.25525410601344395
*CCCCCCNC(=O)C(CCCCCCCCCCCCC)C(=O)N*,33.12,-0.14810777557681104
*CCCCCCNC(=O)C(CCCCCCCCCCC)C(=O)N*,28.87,-0.3273880528822007
*CCCCCCNC(=O)CC(C)(C)c1ccc(C(C)(C)CC(=O)N*)cc1,4.38,-1.3604642861078466
*CCCCCCNC(=O)CC(C)c1ccc(C(C)CC(=O)N*)cc1,11.87,-1.0445091621037599
*CCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,14.55,-0.931457128414714
*CCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.79,-0.9635166603563837
*CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,19.52,-0.7218046629540582
*CCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,39.95,0.14000617595161557
*CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,15.71,-0.8825241586090076
*CCCCCCNC(=O)CCCCC(=O)NCC(=O)N*,35.31,-0.05572570327120998
*CCCCCNC(=O)O*,73.38,1.5502037454384812
*CCOC(=O)NCCCCCCNC(=O)O*,21.16,-0.6526235677115078
*CCCOC(=O)NCCCCCCNC(=O)O*,28.37,-0.34847985021224653
*CCCCOC(=O)NCCCCCCNC(=O)O*,44.03,0.3121152421647897
*CCCCCOC(=O)NCCCCCCNC(=O)O*,27.33,-0.392350788658742
*CCCCCCOC(=O)NCCCCCCNC(=O)O*,37.25,0.026110470369367846
*CCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.32,-0.2662218406250677
*CCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.53,-0.2573632857464484
*CCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.17,-0.2725493798240814
*CCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,27.21,-0.3974128200179529
*CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,36.03,-0.025353515115943998
*CCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,47.76,0.46946005024693166
*CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,52.18,0.6559115386445371
*CCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,29.45,-0.30292156797934755
*CCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,32.31,-0.18227648725148513
*CCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.05,-0.5728965738039344
*CCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,36.98,0.01472089981114295
*CCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,31.26,-0.22656926164458144
*CCCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.4,-0.5581323156729024
*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,30.22,-0.27044020009107694
*CCCCCCNC(=O)N*,49.48,0.5420158330622894
*CCCCCCCNC(=O)N*,33.27,-0.14178023637779705
*OC(=O)CCCCC(*)=O,96.83,2.539409040217632
*OC(=O)CCCCCCCCC(*)=O,83.87,1.9927096534228437
*CCCCCCOC(=O)O*,31.95,-0.19746258132911826
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,16.83,-0.835278532589705
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCOC(*)=O)cc2)cc1,44.64,0.3378472349074456
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCOC(*)=O)cc2)cc1,34.42,-0.09326910251869162
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCOC(*)=O)cc2)cc1,28.99,-0.3223260215229898
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCCCOC(*)=O)cc2)cc1,23.17,-0.5678345424447234
*CCCCOC(=O)O*,64.6,1.1798317843228758
*CCCCCCCCCCOC(=O)O*,44.07,0.3138025859511933
*CCCCCOC(=O)O*,15.11,-0.9078343154050627
*CCC(*)=O,93.5,2.3989376699995266
*CCC1CC(*)C2CCCC12,23.26,-0.5640380189253151
*CCC1CCC(*)C1,23.52,-0.5530702843136914
*CCC1CC(*)C2C3CCC(C3)C12,10.18,-1.1157994370793147
*CC(*)c1ccc(S(=O)(=O)O)cc1,11.0,-1.0812088894580396
*C=CCCCCCCC(Cl)CCCCCC*,11.79,-1.0478838496765672
*C=CCCCCCCCCCC(Cl)CCCCCCCCC*,27.65,-0.37885203836751263
*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCc1ccc2ccc3cccc4ccc1c2c34,13.63,-0.9702660355019983
*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,8.9,-1.1697944382442322
*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,20.64,-0.6745590369347555
*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,28.0,-0.3640877802364805
*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC,10.57,-1.099347835161879
*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O,12.52,-1.0170898255747003
*CC(*)C(=O)OCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,6.12,-1.2870648313992872
*CCCCCCCCCCCCCCC(*)Cl,10.35,-1.1086282259870992
*CCCCCCCCCCCCCCCCCCCCC(*)Cl,41.96,0.22479520121839985
*C=CC1CC(*)C2CC=CC12,41.11,0.18893914575732182
*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,26.83,-0.41344258598878786
*Oc1ccc(-c2ccc(OC(=O)c3cccc(Oc4cccc(C(*)=O)c4)c3)cc2)cc1,73.55,1.557374956530697
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,64.24,1.164645690245243
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,55.4,0.7917427134500323
*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,79.04,1.7889628912146007
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5ccc(Oc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,41.49,0.2049689117281568
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,48.89,0.5171275122128354
*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc(Oc5ccc(Oc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,76.73,1.6915187875497888
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5ccc(Oc6ccc(Oc7ccc(C(*)=O)cc7)cc6)cc5)cc4)cc3)cc2)cc1,30.44,-0.2611598092658567
*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(OC(=O)c4cccc(*)c4)cc3)c2)cc1,44.88,0.3479712976258677
*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(-c4ccc(OC(=O)c5cccc(*)c5)cc4)cc3)c2)cc1,57.07,0.8621893165323856
*Oc1ccc(OC(=O)c2cccc(Oc3ccc(-c4ccc(Oc5cccc(C(*)=O)c5)cc4)cc3)c2)cc1,56.34,0.8313952924305188
*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(C(*)=O)cc4)c3)cc2)c1,18.79,-0.7525986870559253
*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(-c5ccc(C(*)=O)cc5)cc4)c3)cc2)c1,58.26,0.9123877941778946
*Oc1cccc(Oc2ccc(C(=O)Oc3cccc(OC(=O)c4ccc(*)cc4)c3)cc2)c1,12.53,-1.0166679896280992
*Oc1cccc(Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2)c1,43.84,0.3041003591793724
*Oc1cccc(C(=O)c2ccc(*)cc2)c1,47.28,0.44921192481008776
*CC(CS(C)(=O)=O)O*,0.37,-1.5296205006948147
*CC(CS(=O)(=O)CCC)O*,0.16,-1.538479055573434
*CC(CS(=O)(=O)CCCC)O*,0.13,-1.5397445634132365
*CC(CS(=O)(=O)CCCCC)O*,0.44,-1.5266676490686082
*Oc1cccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1,92.57,2.359706926965641
